total_posts,helpful_post,nice_code_post,collaborative_post,confused_post,creative_post,bad_post,amazing_post,timeonline,sk1_classroom,sk2_classroom,sk5_classroom,sk3_classroom,sk4_classroom,Approved,sk1_classroom_Numeric,sk2_classroom_Numeric,sk5_classroom_Numeric,sk3_classroom_Numeric,sk4_classroom_Numeric,Total_Interaction_Count,Average_Post_Activity,Helpful_Post_Rate,Nice_Code_Post_Rate,Collaborative_Post_Rate,Confusion_Post_Rate,Creative_Post_Rate,Negative_Post_Rate,Amazing_Post_Rate,Positive_Engagement_Count,Positive_Engagement_Rate,Help_Seeking_Negative_Count,Help_Seeking_Negative_Rate,Time_Online_Minutes,Time_Per_Post,Interaction_Density,Classroom_Skill_Mean,Classroom_Skill_Std,Classroom_Skill_Max,Classroom_Skill_Min,Classroom_Skill_Range
1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1600.0,"2,1","2,4","3,5","3,6","1,7",0,1.5,3.0,4.0,4.5,4.0,8.0,1.1428571428571428,0.0,0.0,0.0,0.0,6.0,0.0,1.0,7.0,7.0,0.0,0.0,1600.0,1600.0,0.004996876951905059,3.4,1.1937336386313322,4.5,1.5,3.0
1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,592.0,"0,3","0,3",0,"0,1","0,2",0,1.5,1.5,0.0,0.5,1.0,7.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,6.0,6.0,0.0,0.0,592.0,592.0,0.011804384485666104,0.9,0.6519202405202649,1.5,0.0,1.5
2.0,4.0,3.0,9.0,0.0,16.0,1.0,8.0,1110.0,8,5,5,7,5,1,8.0,5.0,5.0,7.0,5.0,43.0,6.142857142857143,2.0,1.5,4.5,0.0,8.0,0.5,4.0,40.0,20.0,4.0,2.0,1110.0,555.0,0.0387038703870387,6.0,1.4142135623730951,8.0,5.0,3.0
5.0,1.0,3.0,9.0,2.0,11.0,0.0,8.0,8651.0,6,5,4,6,4,1,6.0,5.0,4.0,6.0,4.0,39.0,5.571428571428571,0.2,0.6,1.8,0.4,2.2,0.0,1.6,32.0,6.4,3.0,0.6,8651.0,1730.2,0.004507628294036061,5.0,1.0,6.0,4.0,2.0
14.0,6.0,15.0,28.0,0.0,50.0,0.0,45.0,34172.0,"8,7",9,"6,5",10,"8,8",1,7.5,9.0,5.5,10.0,8.0,158.0,22.571428571428573,0.42857142857142855,1.0714285714285714,2.0,0.0,3.5714285714285716,0.0,3.2142857142857144,144.0,10.285714285714286,6.0,0.42857142857142855,34172.0,2440.8571428571427,0.004623533198724139,8.0,1.695582495781317,10.0,5.5,4.5
9.0,3.0,9.0,16.0,7.0,21.0,0.0,17.0,14985.0,"5,1",6,5,"7,5","8,6",1,3.0,6.0,5.0,6.0,7.0,82.0,11.714285714285714,0.3333333333333333,1.0,1.7777777777777777,0.7777777777777778,2.3333333333333335,0.0,1.8888888888888888,66.0,7.333333333333333,10.0,1.1111111111111112,14985.0,1665.0,0.005471773655411717,5.4,1.51657508881031,7.0,3.0,4.0
15.0,10.0,21.0,21.0,1.0,34.0,0.0,37.0,25897.0,"4,7",5,2,5,"8,8",1,5.5,5.0,2.0,5.0,8.0,139.0,19.857142857142858,0.6666666666666666,1.4,1.4,0.06666666666666667,2.2666666666666666,0.0,2.466666666666667,123.0,8.2,11.0,0.7333333333333333,25897.0,1726.4666666666667,0.005367209823152367,5.1,2.1330729007701543,8.0,2.0,6.0
8.0,9.0,21.0,20.0,0.0,31.0,0.0,28.0,9476.0,"5,3","5,7",4,"5,7","8,4",1,4.0,6.0,4.0,6.0,6.0,117.0,16.714285714285715,1.125,2.625,2.5,0.0,3.875,0.0,3.5,109.0,13.625,9.0,1.125,9476.0,1184.5,0.012345679012345678,5.2,1.0954451150103321,6.0,4.0,2.0
6.0,3.0,12.0,13.0,0.0,24.0,0.0,19.0,43612.0,10,"8,4",10,10,"9,6",1,10.0,6.0,10.0,10.0,7.5,77.0,11.0,0.5,2.0,2.1666666666666665,0.0,4.0,0.0,3.1666666666666665,71.0,11.833333333333334,3.0,0.5,43612.0,7268.666666666667,0.0017655286267855915,8.7,1.857417562100671,10.0,6.0,4.0
4.0,4.0,1.0,3.0,0.0,15.0,0.0,14.0,4791.0,"2,3","2,6",1,"2,9",7,0,2.5,4.0,1.0,5.5,7.0,41.0,5.857142857142857,1.0,0.25,0.75,0.0,3.75,0.0,3.5,37.0,9.25,4.0,1.0,4791.0,1197.75,0.008555926544240401,4.0,2.3717082451262845,7.0,1.0,6.0
